Name,Country Code
Třebotov,CZ
Tlumačov,CZ
Staré Město,CZ
Šitbořice,CZ
Přelouč,CZ
Potštát,CZ
Popovice,CZ
Obrnice,CZ
Nymburk,CZ
Novosedlice,CZ
Nové Město na Moravě,CZ
Teplá,CZ
Medlov,CZ
Malšice,CZ
Ludgeřovice,CZ
Lochovice,CZ
Litomyšl,CZ
Libáň,CZ
Křepice,CZ
Jesenice,CZ
Janovice,CZ
Hýskov,CZ
Humpolec,CZ
Hošťálková,CZ
Chrastava,CZ
Chlebičov,CZ
Červená Voda,CZ
Bučovice,CZ
Březnice,CZ
Bořetice,CZ
Bojkovice,CZ
Blížkovice,CZ
Bechlín,CZ
Bartošovice,CZ
Zellingen,DE
Zell im Wiesental,DE
Xanten,DE
Wyhl,DE
Wustrow,DE
Wustermark,DE
Woltersdorf,DE
Wolpertswende,DE
Wolfach,DE
Witzmannsberg,DE
Wittmar,DE
Wittlich,DE
Wischhafen,DE
Wipperdorf,DE
Winterberg,DE
Winsen,DE
Willingen,DE
Wildenfels,DE
Wetterzeube,DE
Westerheim,DE
Wegeleben,DE
Waren,DE
Walsrode,DE
Waldstetten,DE
Waldbüttelbrunn,DE
Waldaschaff,DE
Velen,DE
Unterammergau,DE
Unter-Abtsteinach,DE
Üchtelhausen,DE
Treia,DE
Trausnitz,DE
Traunstein,DE
Todendorf,DE
Tiddische,DE
Teugn,DE
Teltow,DE
Tawern,DE
Sulzfeld,DE
Straßkirchen,DE
Stolberg,DE
Steinmauern,DE
Steeden,DE
Spenge,DE
Sondheim vor der Rhön,DE
Sellin,DE
Seefeld,DE
Seckach,DE
Schwörstadt,DE
Schwendi,DE
Schönthal,DE
Schönecken,DE
Schönberg,DE
Schneckenlohe,DE
Schmitten,DE
Schlegel,DE
Schenefeld,DE
Schauenstein,DE
Schapen,DE
Satteldorf,DE
Ruhla,DE
Rövershagen,DE
Rot,DE
Roßla,DE
Rosenow,DE
Rohrbach,DE
Rodenberg,DE
Rhodt unter Rietburg,DE
Rheinbach,DE
Reinheim,DE
Rehfelde,DE
Rehau,DE
Ramsen,DE
Pulheim,DE
Poxdorf,DE
Poseritz,DE
Penzlin,DE
Passau,DE
Owen,DE
Ovelgönne,DE
Oppach,DE
Obersöchering,DE
Obermeitingen,DE
Notzingen,DE
Nortorf,DE
Norddeich,DE
Nonnweiler,DE
Niederstriegis,DE
Niedersachswerfen,DE
Niederbergkirchen,DE
Neulewin,DE
Neufra,DE
Neubukow,DE
Neckargerach,DE
Naumburg,DE
Nassau,DE
Nalbach,DE
Nabburg,DE
Mylau,DE
Murnau am Staffelsee,DE
Mühlen Eichsen,DE
Moritzburg,DE
Mitterfels,DE
Miltenberg,DE
Mettingen,DE
Meßkirch,DE
Merklingen,DE
Meiderich,DE
Martinshöhe,DE
Markt Nordheim,DE
Markt Bibart,DE
Marktbergel,DE
Ludwigslust,DE
Lāsh,AF
Ōmnah,AF
Khulbisāt,AF
Khinj,AF
Khān Neshīn,AF
Jawand,AF
Ḩājī Khēl,AF
Chāh Āb,AF
Baraki Barak,AF
Dū Laīnah,AF
Lab-Sar,AF
Liberta,AG
Codrington,AG
Kakavijë,AL
Tunjë,AL
Gjorica e Sipërme,AL
Elbasan,AL
Ura Vajgurore,AL
Ungrej,AL
Nikël,AL
Krahës,AL
Fier-Çifçi,AL
Fier,AL
Dalar,AM
Zovuni,AM
Yeghvard,AM
Oshakan,AM
Lerrnanist,AM
Astghadzor,AM
Alaverdi,AM
Darakert,AM
Villa Mantero,AR
Resistencia,AR
Rauch,AR
Puerto Piray,AR
Pirané,AR
Pinamar,AR
Mburucuyá,AR
Los Helechos,AR
La Paz,AR
Laguna Limpia,AR
Herrera,AR
El Alcázar,AR
Concepción del Uruguay,AR
Villa Las Rosas,AR
Villa Constitución,AR
Ticino,AR
Sañogasta,AR
San Martín,AR
San Justo,AR
Pilcaniyeu,AR
Paso de Indios,AR
Pascanas,AR
Palpalá,AR
Los Surgentes,AR
La Rioja,AR
La Calera,AR
Hersilia,AR
General Fernández Oro,AR
Chos Malal,AR
Candelaria,AR
Calilegua,AR
Florentino Ameghino,AR
Aimogasta,AR
Adelia María,AR
Abra Pampa,AR
Tāfuna,AS
Weidling,AT
Walchen,AT
Waiern,AT
Wagna,AT
Vösendorf,AT
Viktring,AT
Thalgau,AT
Stanz bei Landeck,AT
Stall,AT
Senftenberg,AT
Selzthal,AT
Seewalchen,AT
See,AT
Schwarzau am Steinfeld,AT
Schönering,AT
Schlatt,AT
Scheifling,AT
Schattwald,AT
Sankt Pölten,AT
Sankt Margarethen an der Sierning,AT
Sankt Georgen am Ybbsfelde,AT
Saalfelden am Steinernen Meer,AT
Raxendorf,AT
Rauris,AT
Rangersdorf,AT
Raabau,AT
Pottenbrunn,AT
Pfaffenhofen,AT
Pettneu,AT
Ottensheim,AT
Oggau,AT
Oberndorf bei Schwanenstadt,AT
Oberdrauburg,AT
Neulengbach,AT
Neukirchen,AT
Mortantsch,AT
Moosbrunn,AT
Melk,AT
Mautern,AT
Mariatrost,AT
Maria-Anzbach,AT
Maissau,AT
Laa an der Thaya,AT
Königswiesen,AT
Kainbach,AT
Ischgl,AT
Hötting,AT
Hochburg-Ach,AT
Himberg,AT
Heidenreichstein,AT
Groß-Siegharts,AT
Heimschuh,AT
Grafenschlag,AT
Gosau,AT
Gmünd,AT
Gedersdorf,AT
Gattendorf,AT
Ganz,AT
Filzmoos,AT
Eibiswald,AT
Eggern,AT
Ebergassing,AT
Dechantskirchen,AT
Bruck an der Großglocknerstraße,AT
Anthering,AT
Antau,AT
Andelsbuch,AT
Aich,AT
Sankt Jakob in Defereggen,AT
Kolsass,AT
Ried im Zillertal,AT
Langenlebarn-Oberaigen,AT
Tanunda,AU
Kingscote,AU
Greenmount,AU
Ludmilla,AU
Woree,AU
Wesburn,AU
Wauchope,AU
Wallan,AU
Urunga,AU
Trangie,AU
Tocumwal,AU
Terranora,AU
Sutherland,AU
Smithton,AU
Slacks Creek,AU
Shellharbour,AU
Proserpine,AU
Phillip,AU
Park Ridge,AU
Ormiston,AU
Morwell,AU
Minden,AU
Millmerran,AU
Metung,AU
Loganholme,AU
Lake Haven,AU
Kiama,AU
Kenthurst,AU
Hurstville Grove,AU
Harrington,AU
Hadspen,AU
Glebe,AU
Faulconbridge,AU
Fairfield,AU
Emerald,AU
Elliminyt,AU
Dimbulah,AU
Crookwell,AU
Crescent Head,AU
Cranbourne,AU
Cowra,AU
Cowes,AU
Coonamble,AU
Cobram,AU
Caringbah,AU
Camp Mountain,AU
Bundamba,AU
Broadbeach,AU
Bowraville,AU
Bomaderry,AU
Beechworth,AU
Barnsley,AU
Bannockburn,AU
Balgowlah,AU
Burraneer,AU
Ramsgate,AU
Padstow,AU
Rose Bay,AU
Cremorne,AU
Inala,AU
Ferny Grove,AU
Vincentia,AU
Parramatta,AU
Hollywell,AU
Mont Albert North,AU
Delacombe,AU
Estella,AU
East Perth,AU
Turrella,AU
Kellyville,AU
Cromer,AU
Frenchs Forest,AU
Merriwa,AU
Princes Hill,AU
Glen Eden,AU
Manoora,AU
Menzies,AU
Ascot Park,AU
Merrimac,AU
Currajong,AU
Singleton,AU
Kambah,AU
Edens Landing,AU
Theodore,AU
Newtown,AU
Elanora,AU
Ashmore,AU
Colyton,AU
Islington,AU
Jerrabomberra,AU
Kilaben Bay,AU
Withers,AU
Lalor Park,AU
Leonay,AU
Narwee,AU
Speers Point,AU
Broadwater,AU
Sinnamon Park,AU
Lake Macdonald,AU
Dinner Plain,AU
Newtown,AU
Driver,AU
Kewdale,AU
Battery Point,AU
Humpty Doo,AU
Malak,AU
Florey,AU
Gungahlin,AU
Harrison,AU
Camira,AU
Huntingdale,AU
Scullin,AU
Sadadeen,AU
Hughes,AU
Bondi Junction,AU
Boambee East,AU
Keilor Downs,AU
Kogarah Bay,AU
Parklea,AU
Rodd Point,AU
Bellamack,AU
Evanston Park,AU
Hackham West,AU
Elizabeth Park,AU
Smithfield Plains,AU
Coombs,AU
Eden Hill,AU
West Moonah,AU
Tonggu,CN
Tengzhou,CN
Shanghe,CN
Tai’an,CN
Simenqian,CN
Xincheng,CN
Shanmen,CN
Shanmen,CN
Sangyuan,CN
Rizhuang,CN
Qujiang,CN
Qingjiangqiao,CN
Huai'an,CN
Qiaoxu,CN
Qiaowa,CN
Qiaotou,CN
Puting,CN
Pingjiang,CN
Shunling,CN
Guantao,CN
Nanchang,CN
Minggang,CN
Haimen,CN
Ma’ai,CN
Luxi,CN
Lujiao,CN
Luancheng,CN
Lishi,CN
Linwu Chengguanzhen,CN
Lingxi,CN
Lingjiang,CN
Lingcheng,CN
Liaolan,CN
Lengshuiguan,CN
Leiyang,CN
Lantian,CN
Kaihua,CN
Jishui,CN
Guangyuan,CN
Huangjia,CN
Hengshui,CN
Helixi,CN
Haitou,CN
Jiaojiang,CN
Gushi Chengguanzhen,CN
Gupi,CN
Gedong,CN
Gaoniang,CN
Fengkou,CN
Dongguang,CN
Dongchongcun,CN
Daxie,CN
Danshui,CN
Xincheng,CN
Cuihuangkou,CN
Chikan,CN
Chengwu,CN
Chenghua,CN
Bijie,CN
Bashan,CN
Muping,CN
Balu,CN
Bailu,CN
Baihua,CN
Anlong,CN
Zhoushan,CN
Jinshan,CN
Xingfeng,CN
Dasheng,CN
Baiyang,CN
Kerencun,CN
Rongxi,CN
Yantongshan,CN
Wuchang,CN
Ulanhot,CN
Shanhaiguan,CN
Mujiayingzi,CN
Longfeng,CN
Hegang,CN
Chaoyang,CN
Muling,CN
E’zhou,CN
Jiantang,CN
Xia’er,CN
South Bunbury,AU
Bundaberg West,AU
Neftçala,AZ
Qobustan,AZ
Goranboy,AZ
Corat,AZ
Belokany,AZ
Šumatac,BA
Stupari,BA
Solina,BA
Sarajevo,BA
Omanjska,BA
Maglajani,BA
Maglaj,BA
Kalinovik,BA
Janja,BA
Sātkhira,BD
Nāgarpur,BD
Mehendiganj,BD
Baniachang,BD
Badarganj,BD
Kesabpur,BD
Zelzate,BE
Wolkrange,BE
Winksele,BE
Wavre,BE
Wachtebeke,BE
Vinalmont,BE
Thisnes,BE
Tellin,BE
Sprimont,BE
Sint-Genesius-Rode,BE
Sint-Amands,BE
Scherpenheuvel,BE
Schendelbeke,BE
Schelle,BE
Ressegem,BE
Remicourt,BE
Reet,BE
Ramsdonk,BE
Ramillies,BE
Oostduinkerke,BE
Neu-Moresnet,BE
Musson,BE
Mouscron,BE
Meyerode,BE
Meulebeke,BE
Melsbroek,BE
Meerle,BE
Marquain,BE
Lovendegem,BE
Longchamps,BE
La Gleize,BE
Kachtem,BE
Jemappes,BE
Hévillers,BE
Heusy,BE
Herdersem,BE
Hekelgem,BE
Heinsch,BE
Hamipré,BE
Grand-Hallet,BE
Grasleben,DE
Grafenwöhr,DE
Golzow,DE
Gohlis,DE
Gladbeck,DE
Gerhardshofen,DE
Geretsried,DE
Gerbrunn,DE
Genderkingen,DE
Gablenz,DE
Fürfeld,DE
Frohburg,DE
Frielendorf,DE
Bad Fredeburg,DE
Fischbach,DE
Fell,DE
Falkenberg,DE
Essel,DE
Eschweiler,DE
Erligheim,DE
Erlenbach,DE
Erfweiler,DE
Eltville,DE
Elsdorf,DE
Ellefeld,DE
Eisenbach,DE
Eichenbarleben,DE
Dreieich,DE
Döllnitz,DE
Dinkelsbühl,DE
Dietzenbach,DE
Dietfurt,DE
Dieterskirchen,DE
Dieburg,DE
Deutsch Evern,DE
Dersekow,DE
Heustreu,DE
Hessisch Lichtenau,DE
Herzogenrath,DE
Herzlake,DE
Herschweiler-Pettersheim,DE
Herrenberg,DE
Hergisdorf,DE
Herborn,DE
Hendungen,DE
Hellenhahn-Schellenberg,DE
Heinersdorf,DE
Heddesheim,DE
Hecklingen,DE
Häusern,DE
Handorf,DE
Hain-Gründau,DE
Hainewalde,DE
Hagen,DE
Günthersdorf,DE
Gschwend,DE
Großrosseln,DE
Groß Börnecke,DE
Geisa,DE
Garlstorf,DE
Lebach,DE
Lauenau,DE
Langenstein,DE
Langenau,DE
Langelsheim,DE
Lahr,DE
Kürnbach,DE
Künzell,DE
Kröslin,DE
Kossa,DE
Kordel,DE
Königslutter am Elm,DE
Köngen,DE
Klingenberg am Main,DE
Kleinheubach,DE
Kirchberg,DE
Kettenkamp,DE
Kelkheim,DE
Kaub,DE
Katzenelnbogen,DE
Kasseedorf,DE
Karlshagen,DE
Jülich,DE
Jühnde,DE
Jetzendorf,DE
Isen,DE
Inzell,DE
Inning am Holz,DE
Idstein,DE
Hude,DE
Hövelhof,DE
Horn,DE
Holler,DE
Hohn,DE
Hohenpeißenberg,DE
Hochdonn,DE
Hipstedt,DE
Lushan,CN
Wenquan,CN
Liyuan,CN
Liyang,CN
Liuduzhai,CN
Liuzhou,CN
Linghe,CN
Khóm 2,VN
thị xã Quảng Trị,VN
Apia,WS
Ranilug,XK
Kamenica,XK
Gllogjan,XK
Dragash,XK
Yarīm,YE
Radā‘,YE
Qishn,YE
Ḩaşwayn,YE
As Sūdah,YE
As Saddah,YE
‘Amd,YE
Al ‘Udayn,YE
Al Misrākh,YE
Markaz Bilād aţ Ţa‘ām,YE
Zastron,ZA
Vanderbijlpark,ZA
Tugela Ferry,ZA
Thulamahashi,ZA
Potchefstroom,ZA
Piet Retief,ZA
Mutale,ZA
Kathu,ZA
Frankfort,ZA
Empangeni,ZA
Midrand,ZA
Nchelenge,ZM
Nakambala,ZM
Raffingora,ZW
Gweru,ZW
Saint Johnsbury,US
Stowe,US
Albany,US
Ashford,US
Beloit,US
Lamartine,US
Muscoda,US
Saint Croix Falls,US
Sparta,US
Spring Green,US
Stoughton,US
Nowthen,US
Dighton,US
Mammoth,US
Sierra Vista,US
Sun City West,US
American Canyon,US
Anaheim,US
Bear Valley Springs,US
Beaumont,US
Buena Park,US
Cambria,US
Charter Oak,US
Corning,US
Del Rey Oaks,US
Desert View Highlands,US
Downieville,US
East La Mirada,US
El Cerrito,US
Gonzales,US
Huntington Beach,US
Laton,US
Mira Mesa,US
Mira Monte,US
Montclair,US
Morro Bay,US
Mountain House,US
Nipomo,US
North Highlands,US
Pico Rivera,US
Redondo Beach,US
Redwood Valley,US
South San Francisco,US
South San Jose Hills,US
Spring Valley,US
Talmage,US
Valley Center,US
Victorville,US
Waterford,US
Windsor,US
Burlington,US
Fountain,US
Silverton,US
Agua Fria,US
Anthony,US
Bayard,US
Crownpoint,US
Questa,US
Ruidoso Downs,US
Santa Clara Pueblo,US
Bunkerville,US
Whitney,US
Booker,US
Channing,US
El Paso,US
Friona,US
Kermit,US
Las Quintas Fronterizas Colonia,US
Monahans,US
Roby,US
Roscoe,US
Vega,US
Wheeler,US
Moab,US
Mount Pleasant,US
Platteville,US
Ketchum,US
Moreland,US
Murphy,US
Salmon,US
Shoshone,US
Kalispell,US
Sidney,US
White Sulphur Springs,US
Bottineau,US
Carson,US
Parshall,US
Rushville,US
Terrytown,US
Bend,US
Estacada,US
Four Corners,US
Kenton,US
Milwaukie,US
Newport,US
Prineville,US
Warm Springs,US
Deadwood,US
Canyon Rim,US
East Millcreek,US
Hyrum,US
Millville,US
North Ogden,US
Ogden,US
Perry,US
South Ogden,US
Taylorsville,US
Tremonton,US
Benton City,US
Canterwood,US
Castle Rock,US
Coupeville,US
Dallesport,US
Kalama,US
Kennewick,US
Kettle Falls,US
Midland,US
Mill Creek,US
Mirrormont,US
Nooksack,US
Normandy Park,US
North Puyallup,US
Omak,US
Oroville,US
Port Ludlow,US
Renton,US
Royal City,US
Woodway,US
Arapahoe,US
Palouse,US
Lahaina,US
Waianae,US
Waimea,US
Waipio,US
Waipi‘o Acres,US
Fritz Creek,US
Kotzebue,US
Seward,US
Millburn,US
Vineyard,US
Northwest Harwinton,US
Woodbury Center,US
Newport East,US
Fort Meade,US
Conneaut Lakeshore,US
Jamestown West,US
Ault Field,US
Bret Harte,US
Lake Morton-Berrydale,US
East Hill-Meridian,US
Sierra Vista Southeast,US
Eielson Air Force Base,US
Flagler Estates,US
East Honolulu,US
Vernon Center,US
Keeler Farm,US
Providence Village,US
Wilderness Rim,US
Warren Township,US
Financial District,US
Lake Lakengren,US
Silver Lake,US
St. Johns,US
Cortlandt Manor,US
James Island,US
La Paloma,UY
Cardal,UY
Mo‘ynoq Shahri,UZ
Ishtixon Shahri,UZ
Shovot,UZ
Qo’shko’pir,UZ
G‘azalkent,UZ
Fergana,UZ
Mang‘it Shahri,UZ
Qiziltepa Shahri,UZ
Tovar,VE
Torunos,VE
Santa Bárbara,VE
San Luis,VE
Pueblo Nuevo El Chivo,VE
Obispos,VE
Motatán,VE
Las Mercedes,VE
La Plata,VE
El Hatillo,VE
Casanay,VE
Campo Elías,VE
Baruta,VE
Yên Châu,VN
Vũng Liêm,VN
Tuy Hòa,VN
Phan Thiết,VN
Năm Căn,VN
Mường Lát,VN
Khe Sanh,VN
Hòn Đất,VN
Bình Thủy,VN
Thị Trấn Bảo Lạc,VN
Lai Châu,VN
Hà Trung,VN
Kỳ Sơn,VN
Vĩnh Trụ,VN
Vĩnh Tường,VN
Liên Quan,VN
Ia Pa,VN
Vĩnh Hưng,VN
Châu Thành,VN
Na Wa,TH
Mueang Suang,TH
Lam Luk Ka,TH
Kumphawapi,TH
Khlong Yai,TH
Kham Khuean Kaeo,TH
Khamcha-i,TH
Huai Mek,TH
Ban Phan Don,TH
Sop Pong,TH
Khujand,TJ
Atafu Village,TK
Baukau,TL
Matmata,TN
Sidi Bou Ali,TN
Nabeul,TN
Menzel Salem,TN
Kesra,TN
Beni Khiar,TN
Chebba,TN
Hammamet,TN
Hihifo,TO
Erzin,TR
Yenipınar,TR
Yalınca,TR
Turgutlu,TR
Tomarza,TR
Taşlıçay,TR
Taraksu,TR
Sürgü,TR
Solhan,TR
Sarıköy,TR
Pozantı,TR
Akpazar,TR
Ortaköy,TR
Muratlı,TR
Kurthasanlı,TR
Kozluk,TR
Korkuteli,TR
Kızılsu,TR
Karlıova,TR
Karakoyunlu,TR
Kadirli,TR
İshaklı,TR
İhsaniye,TR
Alacakaya,TR
Harmancık,TR
Hankendi,TR
Halkapınar,TR
Güzeloluk,TR
Gözler,TR
Gömeç,TR
Eskişehir,TR
Düvertepe,TR
Çandarlı,TR
Bayat,TR
Bağdere,TR
Antalya,TR
Akarsu,TR
Ağlasun,TR
Çırtıman,TR
Açıkdere,TR
Yomra,TR
Velimeşe,TR
Veliköy,TR
Sinop,TR
Boyalı,TR
Görele,TR
Fındıklı,TR
Eldivan,TR
Çaykara,TR
Mashpee,US
Millers Falls,US
Saco,US
Sanford,US
Steuben,US
Thomaston,US
Washington,US
Benton Heights,US
Boyne City,US
Brown City,US
Comstock Park,US
Harbor Springs,US
Lewiston,US
Napoleon,US
Riverview,US
Romulus,US
Sault Ste. Marie,US
Saint Clair,US
Coon Rapids,US
Crystal,US
Frazee,US
Fridley,US
Ivanhoe,US
Lake Saint Croix Beach,US
Maplewood,US
Mendota Heights,US
New Brighton,US
Norwood (historical),US
Scandia,US
Zumbrota,US
Finley,US
Stromsburg,US
Sutton,US
Charlestown,US
Meredith,US
Newbury,US
Northumberland,US
Portsmouth,US
Bradley Beach,US
East Rutherford,US
Keansburg,US
Lebanon,US
Morristown,US
Mountainside,US
Oxford,US
Rahway,US
Spring Lake Heights,US
Succasunna,US
Bernhards Bay,US
Boonville,US
Brighton,US
Canton,US
Central Islip,US
Clayton,US
College Point,US
Copiague,US
East Shoreham,US
Fort Hamilton,US
Gordon Heights,US
Graniteville,US
Hamlin,US
Holtsville,US
Lake Mohegan,US
Lake Placid,US
Manhasset,US
Mattydale,US
Mount Morris,US
New Rochelle,US
Palmyra,US
Phoenix,US
Pine Plains,US
South Beach,US
South Valley Stream,US
Southampton,US
Stottville,US
Trumansburg,US
Unadilla,US
Village Green,US
Wading River,US
Wawarsing,US
West Sayville,US
Westhampton Beach,US
Williston Park,US
Willowbrook,US
Woodside,US
Bay Village,US
Cridersville,US
Dalton,US
Deshler,US
Green Springs,US
Madison,US
McComb,US
Mingo Junction,US
North Canton,US
Oberlin,US
Russells Point,US
Avoca,US
